,duration,play_pattern_name,under_pressure,shot_outcome_name,shot_first_time,distance_to_goal,shot_angle,gk_name,gk_engage,assist_type,player_name
71,0.813,Regular Play,1,Off T,0,16.278820596099706,47.489552921999156,Francisco Guillermo Ochoa Magaña,0.6530046663995769,Other,Marcus Berg
72,0.893,Regular Play,0,Goal,0,8.94427190999916,63.43494882292202,Francisco Guillermo Ochoa Magaña,0.75,Other,Ludwig Augustinsson
73,0.44,From Free Kick,0,Off T,0,9.899494936611665,45.0,Rui Pedro dos Santos Patrício,0.5050762722761054,Other,Mehdi Taremi
74,1.373,Regular Play,0,Goal,0,17.4928556845359,30.96375653207352,Jaime Manuel Penedo Cano,0.8574929257125442,Other,Harry Kane
75,0.613,From Throw In,0,Saved,0,17.46424919657298,23.629377730656817,Thibaut Courtois,0.33387933424527133,Pass,Marcus Rashford
76,0.867,From Throw In,0,Off T,0,16.55294535724685,64.98310652189998,David Ospina Ramírez,0.7569628133071842,Pass,Danny Rose
77,0.573,Regular Play,0,Off T,1,20.0,53.13010235415598,Yann Sommer,0.8321658488546619,Pass,Marcus Berg
78,1.653,From Throw In,0,Wayward,0,15.811388300841896,71.56505117707799,Danijel Subašić,0.74027022093287,Pass,Jesse Lingard
79,0.18,Regular Play,0,Saved,1,6.082762530298219,9.462322208025617,Jordan Pickford,0.3287979746107146,Cross,Mario Mandžukić
80,0.613,From Throw In,0,Goal,0,9.219544457292887,49.398705354995535,Jordan Pickford,0.9203579866168444,Pass,Mario Mandžukić
81,1.8,From Throw In,1,Off T,0,19.313207915827967,68.74949449286676,Hyun-Woo Cho,0.8847834893669185,Pass,Marco Reus
82,0.427,Regular Play,1,Saved,0,17.88854381999832,26.565051177077994,David Ospina Ramírez,0.4506939094329986,Other,Yūya Ōsako
